Id,Rank,Mark,Wind,URI_Name,Competitor,DOB,Nat,Pos,Venue,City,Country,Date,Result_Score,Event,Sex
1,1,9.77,0.9,Kishane_Thompson,Kishane Thompson,2001-07-17,JAM,1,National Stadium,Kingston,JAM,2024-06-28,1287,100_metres,male
2,2,9.79,1.5,Ferdinand_Omanyala,Ferdinand Omanyala,1996-01-02,KEN,1,Nyayo National Stadium,Nairobi,KEN,2024-06-15,1280,100_metres,male
3,2,9.79,1.0,Noah_Lyles,Noah Lyles,1997-07-18,USA,1,Stade de France,Paris,FRA,2024-08-04,1280,100_metres,male
4,2,9.79,1.0,Kishane_Thompson,Kishane Thompson,2001-07-17,JAM,2,Stade de France,Paris,FRA,2024-08-04,1280,100_metres,male
5,5,9.8,0.5,Kishane_Thompson,Kishane Thompson,2001-07-17,JAM,1sf3,Stade de France,Paris,FRA,2024-08-04,1276,100_metres,male
6,6,9.81,-0.3,Noah_Lyles,Noah Lyles,1997-07-18,USA,1,Olympic Stadium,London,GBR,2024-07-20,1274,100_metres,male
7,6,9.81,1.0,Fred_Kerley,Fred Kerley,1995-05-07,USA,3,Stade de France,Paris,FRA,2024-08-04,1273,100_metres,male
8,6,9.81,0.7,Oblique_Seville,Oblique Seville,2001-03-16,JAM,1sf1,Stade de France,Paris,FRA,2024-08-04,1273,100_metres,male
9,9,9.82,0.9,Oblique_Seville,Oblique Seville,2001-03-16,JAM,1,National Stadium,Kingston,JAM,2024-06-01,1269,100_metres,male
10,9,9.82,1.0,Kishane_Thompson,Kishane Thompson,2001-07-17,JAM,1h2,National Stadium,Kingston,JAM,2024-06-27,1269,100_metres,male
11,9,9.82,0.9,Oblique_Seville,Oblique Seville,2001-03-16,JAM,2,National Stadium,Kingston,JAM,2024-06-28,1269,100_metres,male
12,9,9.82,1.0,Akani_Simbine,Akani Simbine,1993-09-21,RSA,4,Stade de France,Paris,FRA,2024-08-04,1269,100_metres,male
13,13,9.83,0.4,Noah_Lyles,Noah Lyles,1997-07-18,USA,1,Hayward Field, Eugene,USA,2024-06-23,1266,100_metres,male
14,13,9.83,0.4,Oblique_Seville,Oblique Seville,2001-03-16,JAM,1sf2,National Stadium,Kingston,JAM,2024-06-28,1266,100_metres,male
