"",Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Venue,Date,Results Score
0,1,9.77,0.9,Kishane THOMPSON,17 JUL 2001,JAM,1,"National Stadium, Kingston (JAM)",28 JUN 2024,1287
1,2,9.79,1.5,Ferdinand OMANYALA,02 JAN 1996,KEN,1,"Nyayo National Stadium, Nairobi (KEN)",15 JUN 2024,1280
2,2,9.79,1.0,Noah LYLES,18 JUL 1997,USA,1,"Stade de France, Paris (FRA)",04 AUG 2024,1280
3,2,9.79,1.0,Kishane THOMPSON,17 JUL 2001,JAM,2,"Stade de France, Paris (FRA)",04 AUG 2024,1280
4,5,9.8,0.5,Kishane THOMPSON,17 JUL 2001,JAM,1sf3,"Stade de France, Paris (FRA)",04 AUG 2024,1276
5,6,9.81,-0.3,Noah LYLES,18 JUL 1997,USA,1,"Olympic Stadium, London (GBR)",20 JUL 2024,1274
6,6,9.81,1.0,Fred KERLEY,07 MAY 1995,USA,3,"Stade de France, Paris (FRA)",04 AUG 2024,1273
7,6,9.81,0.7,Oblique SEVILLE,16 MAR 2001,JAM,1sf1,"Stade de France, Paris (FRA)",04 AUG 2024,1273
8,9,9.82,0.9,Oblique SEVILLE,16 MAR 2001,JAM,1,"National Stadium, Kingston (JAM)",01 JUN 2024,1269
9,9,9.82,1.0,Kishane THOMPSON,17 JUL 2001,JAM,1h2,"National Stadium, Kingston (JAM)",27 JUN 2024,1269
10,9,9.82,0.9,Oblique SEVILLE,16 MAR 2001,JAM,2,"National Stadium, Kingston (JAM)",28 JUN 2024,1269
11,9,9.82,1.0,Akani SIMBINE,21 SEP 1993,RSA,4,"Stade de France, Paris (FRA)",04 AUG 2024,1269
12,13,9.83,0.4,Noah LYLES,18 JUL 1997,USA,1,"Hayward Field, Eugene, OR (USA)",23 JUN 2024,1266
13,13,9.83,0.4,Oblique SEVILLE,16 MAR 2001,JAM,1sf2,"National Stadium, Kingston (JAM)",28 JUN 2024,1266
14,13,9.83,0.7,Noah LYLES,18 JUL 1997,USA,2sf1,"Stade de France, Paris (FRA)",04 AUG 2024,1266
15,16,9.84,0.6,Kishane THOMPSON,17 JUL 2001,JAM,1sf1,"National Stadium, Kingston (JAM)",28 JUN 2024,1262
16,16,9.84,0.5,Fred KERLEY,07 MAY 1995,USA,2sf3,"Stade de France, Paris (FRA)",04 AUG 2024,1262
17,18,9.85,0.9,Noah LYLES,18 JUL 1997,USA,2,"National Stadium, Kingston (JAM)",01 JUN 2024,1259
18,18,9.85,1.0,Lamont Marcell JACOBS,26 SEP 1994,ITA,5,"Stade de France, Paris (FRA)",04 AUG 2024,1259
