"",Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Venue,Date,Results Score
0,1,12.24,-0.4,Ackera NUGENT,29 APR 2002,JAM,1,"Stadio Olimpico, Roma (ITA)",30 AUG 2024,1257
1,2,12.25,0.7,Masai RUSSELL,17 JUN 2000,USA,1,"Hayward Field, Eugene, OR (USA)",30 JUN 2024,1253
2,3,12.28,0.5,Ackera NUGENT,29 APR 2002,JAM,1,"National Stadium, Kingston (JAM)",30 JUN 2024,1249
3,4,12.29,-0.5,Ackera NUGENT,29 APR 2002,JAM,1,"Stadion Śląski, Chorzów (POL)",25 AUG 2024,1251
4,5,12.3,0.6,Ackera NUGENT,29 APR 2002,JAM,1h2,"Stadion Śląski, Chorzów (POL)",25 AUG 2024,1246
5,6,12.31,0.8,Cyréna SAMBA-MAYELA,31 OCT 2000,FRA,1,"Stadio Olimpico, Roma (ITA)",08 JUN 2024,1245
6,6,12.31,0.7,Alaysha JOHNSON,20 JUL 1996,USA,2,"Hayward Field, Eugene, OR (USA)",30 JUN 2024,1245
7,6,12.31,0.7,Grace STARK,06 MAY 2001,USA,3,"Hayward Field, Eugene, OR (USA)",30 JUN 2024,1245
8,6,12.31,-0.4,Masai RUSSELL,17 JUN 2000,USA,2,"Stadio Olimpico, Roma (ITA)",30 AUG 2024,1247
9,10,12.33,-0.3,Masai RUSSELL,17 JUN 2000,USA,1,"Stade de France, Paris (FRA)",10 AUG 2024,1243
10,11,12.34,0.4,Alaysha JOHNSON,20 JUL 1996,USA,1sf2,"Stade de France, Paris (FRA)",09 AUG 2024,1241
11,11,12.34,-0.3,Cyréna SAMBA-MAYELA,31 OCT 2000,FRA,2,"Stade de France, Paris (FRA)",10 AUG 2024,1242
12,13,12.35,0.2,Masai RUSSELL,17 JUN 2000,USA,1h2,"Hayward Field, Eugene, OR (USA)",28 JUN 2024,1239
13,13,12.35,-0.7,Jasmine CAMACHO-QUINN,21 AUG 1996,PUR,1sf3,"Stade de France, Paris (FRA)",09 AUG 2024,1243
14,13,12.35,-0.9,Jasmine CAMACHO-QUINN,21 AUG 1996,PUR,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",22 AUG 2024,1244
15,16,12.36,1.0,Alaysha JOHNSON,20 JUL 1996,USA,1sf2,"Hayward Field, Eugene, OR (USA)",29 JUN 2024,1238
16,16,12.36,1.0,Tonea MARSHALL,17 OCT 1998,USA,2sf2,"Hayward Field, Eugene, OR (USA)",29 JUN 2024,1238
17,16,12.36,0.5,Masai RUSSELL,17 JUN 2000,USA,1sf3,"Hayward Field, Eugene, OR (USA)",29 JUN 2024,1238
18,16,12.36,1.6,Nadine VISSER,09 FEB 1995,NED,1f1,"Stade de La Charrière, La Chaux-de-Fonds (SUI)",14 JUL 2024,1238
19,16,12.36,-0.3,Jasmine CAMACHO-QUINN,21 AUG 1996,PUR,3,"Stade de France, Paris (FRA)",10 AUG 2024,1239
20,16,12.36,0.8,Jasmine CAMACHO-QUINN,21 AUG 1996,PUR,1,"Letzigrund, Zürich (SUI)",05 SEP 2024,1238
21,16,12.36,0.6,Jasmine CAMACHO-QUINN,21 AUG 1996,PUR,1,"Icahn Stadium, New York, NY (USA)",26 SEP 2024,1238
22,23,12.37,0.2,Alaysha JOHNSON,20 JUL 1996,USA,2h2,"Hayward Field, Eugene, OR (USA)",28 JUN 2024,1237
23,23,12.37,0.7,Nia ALI,23 OCT 1988,USA,4,"Hayward Field, Eugene, OR (USA)",30 JUN 2024,1237
24,23,12.37,1.6,Pia SKRZYSZOWSKA,20 APR 2001,POL,2f1,"Stade de La Charrière, La Chaux-de-Fonds (SUI)",14 JUL 2024,1237
25,23,12.37,-0.5,Grace STARK,06 MAY 2001,USA,2,"Stadion Śląski, Chorzów (POL)",25 AUG 2024,1240
26,23,12.37,-0.3,Danielle WILLIAMS,14 SEP 1992,JAM,1h1,"Stadion Śląski, Chorzów (POL)",25 AUG 2024,1238
27,28,12.38,0.7,Tonea MARSHALL,17 OCT 1998,USA,5,"Hayward Field, Eugene, OR (USA)",30 JUN 2024,1235
28,28,12.38,-0.9,Grace STARK,06 MAY 2001,USA,2,"Stade Olympique de la Pontaise, Lausanne (SUI)",22 AUG 2024,1240
29,28,12.38,-0.9,Ackera NUGENT,29 APR 2002,JAM,3,"Stade Olympique de la Pontaise, Lausanne (SUI)",22 AUG 2024,1240
30,28,12.38,-0.5,Danielle WILLIAMS,14 SEP 1992,JAM,3,"Stadion Śląski, Chorzów (POL)",25 AUG 2024,1238
31,28,12.38,0.4,Jasmine CAMACHO-QUINN,21 AUG 1996,PUR,1,"Boudewijnstadion, Bruxelles (BEL)",14 SEP 2024,1235
32,33,12.39,0.7,Kendra HARRISON,18 SEP 1992,USA,6,"Hayward Field, Eugene, OR (USA)",30 JUN 2024,1234
33,33,12.39,1.6,Jasmine CAMACHO-QUINN,21 AUG 1996,PUR,1,"FBK Stadium, Hengelo (NED)",07 JUL 2024,1234
34,33,12.39,0.5,Grace STARK,06 MAY 2001,USA,1sf1,"Stade de France, Paris (FRA)",09 AUG 2024,1234
35,36,12.4,0.9,Tobi AMUSAN,23 APR 1997,NGR,1,"National Stadium, Kingston (JAM)",11 MAY 2024,1232
36,36,12.4,0.8,Ditaji KAMBUNDJI,20 MAY 2002,SUI,2,"Stadio Olimpico, Roma (ITA)",08 JUN 2024,1232
37,36,12.4,-0.5,Masai RUSSELL,17 JUN 2000,USA,4,"Stadion Śląski, Chorzów (POL)",25 AUG 2024,1235
38,36,12.4,0.8,Cyréna SAMBA-MAYELA,31 OCT 2000,FRA,2,"Letzigrund, Zürich (SUI)",05 SEP 2024,1232
39,40,12.41,1.7,Tonea MARSHALL,17 OCT 1998,USA,1h1,"Hayward Field, Eugene, OR (USA)",28 JUN 2024,1231
40,40,12.41,0.3,Jasmine CAMACHO-QUINN,21 AUG 1996,PUR,1f2,"Stadion Allmend, Luzern (SUI)",16 JUL 2024,1231
41,42,12.42,1.1,Tonea MARSHALL,17 OCT 1998,USA,1,"National Training Center, Clermont, FL (USA)",20 APR 2024,1230
42,42,12.42,0.8,Pia SKRZYSZOWSKA,20 APR 2001,POL,3,"Stadio Olimpico, Roma (ITA)",08 JUN 2024,1230
43,42,12.42,1.5,Nadine VISSER,09 FEB 1995,NED,1h1,"Stade de La Charrière, La Chaux-de-Fonds (SUI)",14 JUL 2024,1230
44,42,12.42,1.5,Pia SKRZYSZOWSKA,20 APR 2001,POL,2h1,"Stade de La Charrière, La Chaux-de-Fonds (SUI)",14 JUL 2024,1230
45,42,12.42,0.4,Grace STARK,06 MAY 2001,USA,1h1,"Percy Beard Track, Gainesville, FL (USA)",19 JUL 2024,1230
46,42,12.42,0.0,Jasmine CAMACHO-QUINN,21 AUG 1996,PUR,1h2,"Stade de France, Paris (FRA)",07 AUG 2024,1230
47,42,12.42,-0.7,Masai RUSSELL,17 JUN 2000,USA,2sf3,"Stade de France, Paris (FRA)",09 AUG 2024,1234
48,42,12.42,-0.5,Alaysha JOHNSON,20 JUL 1996,USA,5,"Stadion Śląski, Chorzów (POL)",25 AUG 2024,1233
49,42,12.42,-0.3,Grace STARK,06 MAY 2001,USA,2h1,"Stadion Śląski, Chorzów (POL)",25 AUG 2024,1231
50,51,12.43,0.4,Cyréna SAMBA-MAYELA,31 OCT 2000,FRA,1sf2,"Stadio Olimpico, Roma (ITA)",08 JUN 2024,1228
51,51,12.43,0.4,Nadine VISSER,09 FEB 1995,NED,2sf2,"Stade de France, Paris (FRA)",09 AUG 2024,1228
52,51,12.43,-0.3,Nadine VISSER,09 FEB 1995,NED,4,"Stade de France, Paris (FRA)",10 AUG 2024,1229
53,51,12.43,-0.3,Grace STARK,06 MAY 2001,USA,5,"Stade de France, Paris (FRA)",10 AUG 2024,1229
54,51,12.43,0.6,Alaysha JOHNSON,20 JUL 1996,USA,2,"Icahn Stadium, New York, NY (USA)",26 SEP 2024,1228
55,56,12.44,-0.8,Nia ALI,23 OCT 1988,USA,1f2,"Percy Beard Track, Gainesville, FL (USA)",13 APR 2024,1231
56,56,12.44,-0.7,Ackera NUGENT,29 APR 2002,JAM,3sf3,"Stade de France, Paris (FRA)",09 AUG 2024,1231
57,56,12.44,0.6,Masai RUSSELL,17 JUN 2000,USA,3,"Icahn Stadium, New York, NY (USA)",26 SEP 2024,1227
58,59,12.45,-0.8,Tonea MARSHALL,17 OCT 1998,USA,2f2,"Percy Beard Track, Gainesville, FL (USA)",13 APR 2024,1229
59,59,12.45,-0.2,Jasmine CAMACHO-QUINN,21 AUG 1996,PUR,1,"Egret Stadium, Xiamen (CHN)",20 APR 2024,1226
60,59,12.45,0.5,Grace STARK,06 MAY 2001,USA,2sf3,"Hayward Field, Eugene, OR (USA)",29 JUN 2024,1225
61,62,12.46,0.9,Danielle WILLIAMS,14 SEP 1992,JAM,2,"National Stadium, Kingston (JAM)",11 MAY 2024,1224
62,62,12.46,-1.1,Ackera NUGENT,29 APR 2002,JAM,1h1,"National Stadium, Kingston (JAM)",29 JUN 2024,1230
63,62,12.46,1.6,Nadine VISSER,09 FEB 1995,NED,2,"FBK Stadium, Hengelo (NED)",07 JUL 2024,1224
64,62,12.46,0.6,Alaysha JOHNSON,20 JUL 1996,USA,2h2,"Stadion Śląski, Chorzów (POL)",25 AUG 2024,1224
65,66,12.47,-0.5,Grace STARK,06 MAY 2001,USA,1,"Hayward Field, Eugene, OR (USA)",08 JUN 2024,1226
66,66,12.47,-0.2,Jasmine CAMACHO-QUINN,21 AUG 1996,PUR,1,"Bregyó Athletic Center, Székesfehérvár (HUN)",09 JUL 2024,1224
67,66,12.47,-0.5,Cyréna SAMBA-MAYELA,31 OCT 2000,FRA,6,"Stadion Śląski, Chorzów (POL)",25 AUG 2024,1226
68,66,12.47,0.8,Masai RUSSELL,17 JUN 2000,USA,3,"Letzigrund, Zürich (SUI)",05 SEP 2024,1223
69,70,12.48,1.6,Nia ALI,23 OCT 1988,USA,1,"Paavo Nurmen Stadion, Turku (FIN)",18 JUN 2024,1221
70,71,12.49,-0.2,Devynne CHARLTON,26 NOV 1995,BAH,2,"Egret Stadium, Xiamen (CHN)",20 APR 2024,1221
71,71,12.49,1.7,Ditaji KAMBUNDJI,20 MAY 2002,SUI,1,"Suhaim bin Hamad Stadium, Doha (QAT)",10 MAY 2024,1220
72,71,12.49,1.3,Maribel Vanessa CAICEDO,01 APR 1998,ECU,1pr5,"John McDonnell Field, Fayetteville, AR (USA)",23 MAY 2024,1220
73,71,12.49,0.2,Kendra HARRISON,18 SEP 1992,USA,1h4,"Hayward Field, Eugene, OR (USA)",28 JUN 2024,1220
74,71,12.49,1.6,Marione FOURIE,30 APR 2002,RSA,3,"FBK Stadium, Hengelo (NED)",07 JUL 2024,1220
75,71,12.49,0.7,Tobi AMUSAN,23 APR 1997,NGR,1h2,"Percy Beard Track, Gainesville, FL (USA)",19 JUL 2024,1220
76,71,12.49,-0.1,Tobi AMUSAN,23 APR 1997,NGR,1h1,"Stade de France, Paris (FRA)",07 AUG 2024,1220
77,71,12.49,-0.9,Nadine VISSER,09 FEB 1995,NED,4,"Stade Olympique de la Pontaise, Lausanne (SUI)",22 AUG 2024,1225
78,71,12.49,-0.5,Nadine VISSER,09 FEB 1995,NED,7,"Stadion Śląski, Chorzów (POL)",25 AUG 2024,1223
79,71,12.49,-0.3,Kendra HARRISON,18 SEP 1992,USA,3h1,"Stadion Śląski, Chorzów (POL)",25 AUG 2024,1221
80,71,12.49,-0.3,Cyréna SAMBA-MAYELA,31 OCT 2000,FRA,4h1,"Stadion Śląski, Chorzów (POL)",25 AUG 2024,1221
81,71,12.49,0.8,Grace STARK,06 MAY 2001,USA,4,"Letzigrund, Zürich (SUI)",05 SEP 2024,1220
82,83,12.5,1.6,Marione FOURIE,30 APR 2002,RSA,3f1,"Stade de La Charrière, La Chaux-de-Fonds (SUI)",14 JUL 2024,1218
