"",Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Venue,Date,Results Score
0,1,48.17,,Marileidy PAULINO,25 OCT 1996,DOM,1,"Stade de France, Paris (FRA)",09 AUG 2024,1280
1,2,48.53,,Salwa Eid NASER,23 MAY 1998,BRN,2,"Stade de France, Paris (FRA)",09 AUG 2024,1265
2,3,48.57,,Nickisha PRYCE,07 MAR 2001,JAM,1,"Olympic Stadium, London (GBR)",20 JUL 2024,1264
3,4,48.66,,Marileidy PAULINO,25 OCT 1996,DOM,1,"Stadion Śląski, Chorzów (POL)",25 AUG 2024,1260
4,5,48.75,,Sydney MCLAUGHLIN-LEVRONE,07 AUG 1999,USA,1,"Icahn Stadium, New York, NY (USA)",09 JUN 2024,1256
5,6,48.89,,Nickisha PRYCE,07 MAR 2001,JAM,1,"Hayward Field, Eugene, OR (USA)",08 JUN 2024,1251
6,7,48.9,,Natalia KACZMAREK,17 JAN 1998,POL,2,"Olympic Stadium, London (GBR)",20 JUL 2024,1250
7,8,48.98,,Natalia KACZMAREK,17 JAN 1998,POL,1,"Stadio Olimpico, Roma (ITA)",10 JUN 2024,1247
8,8,48.98,,Natalia KACZMAREK,17 JAN 1998,POL,3,"Stade de France, Paris (FRA)",09 AUG 2024,1247
9,10,49.07,,Rhasidat ADELEKE,29 AUG 2002,IRL,2,"Stadio Olimpico, Roma (ITA)",10 JUN 2024,1243
10,11,49.08,,Salwa Eid NASER,23 MAY 1998,BRN,1sf1,"Stade de France, Paris (FRA)",07 AUG 2024,1243
11,12,49.11,,Sydney MCLAUGHLIN-LEVRONE,07 AUG 1999,USA,1,"Boudewijnstadion, Bruxelles (BEL)",13 SEP 2024,1242
12,13,49.13,,Kaylyn BROWN,31 DEC 2004,USA,2,"Hayward Field, Eugene, OR (USA)",08 JUN 2024,1241
13,14,49.17,,Femke BOL,23 FEB 2000,NED,1,"Glasgow Arena, Glasgow (GBR) (i)",02 MAR 2024,1272
14,14,49.17,,Rhasidat ADELEKE,29 AUG 2002,IRL,1,"Stade Louis II, Monaco (MON)",12 JUL 2024,1239
15,16,49.2,,Marileidy PAULINO,25 OCT 1996,DOM,1,"Stade Charléty, Paris (FRA)",07 JUL 2024,1238
16,17,49.21,,Marileidy PAULINO,25 OCT 1996,DOM,1sf2,"Stade de France, Paris (FRA)",07 AUG 2024,1237
17,18,49.23,,Salwa Eid NASER,23 MAY 1998,BRN,2,"Stadion Śląski, Chorzów (POL)",25 AUG 2024,1237
18,19,49.24,,Femke BOL,23 FEB 2000,NED,1,"Omnisport, Apeldoorn (NED) (i)",18 FEB 2024,1269
19,20,49.28,,Rhasidat ADELEKE,29 AUG 2002,IRL,4,"Stade de France, Paris (FRA)",09 AUG 2024,1235
20,21,49.29,,Amber ANNING,18 NOV 2000,GBR,5,"Stade de France, Paris (FRA)",09 AUG 2024,1234
21,22,49.3,,Marileidy PAULINO,25 OCT 1996,DOM,1,"Bislett Stadion, Oslo (NOR)",30 MAY 2024,1234
22,23,49.32,,Nickisha PRYCE,07 MAR 2001,JAM,1,"Percy Beard Track, Gainesville, FL (USA)",11 MAY 2024,1233
23,24,49.42,,Marileidy PAULINO,25 OCT 1996,DOM,1h5,"Stade de France, Paris (FRA)",05 AUG 2024,1229
24,25,49.45,,Natalia KACZMAREK,17 JAN 1998,POL,1sf3,"Stade de France, Paris (FRA)",07 AUG 2024,1228
25,25,49.45,,Marileidy PAULINO,25 OCT 1996,DOM,1,"Boudewijnstadion, Bruxelles (BEL)",13 SEP 2024,1228
26,27,49.46,,Kendall ELLIS,08 MAR 1996,USA,1,"Hayward Field, Eugene, OR (USA)",23 JUN 2024,1227
27,28,49.47,,Kaylyn BROWN,31 DEC 2004,USA,2,"Percy Beard Track, Gainesville, FL (USA)",11 MAY 2024,1227
28,28,49.47,,Amber ANNING,18 NOV 2000,GBR,2sf3,"Stade de France, Paris (FRA)",07 AUG 2024,1227
29,30,49.51,,Amber ANNING,18 NOV 2000,GBR,3,"Percy Beard Track, Gainesville, FL (USA)",11 MAY 2024,1225
30,31,49.58,,Lieke KLAVER,20 AUG 1998,NED,3,"Olympic Stadium, London (GBR)",20 JUL 2024,1222
31,32,49.59,,Amber ANNING,18 NOV 2000,GBR,3,"Hayward Field, Eugene, OR (USA)",08 JUN 2024,1222
32,32,49.59,,Marileidy PAULINO,25 OCT 1996,DOM,1,"Icahn Stadium, New York, NY (USA)",26 SEP 2024,1222
33,34,49.63,,Femke BOL,23 FEB 2000,NED,1f1,"Arena Stade Couvert, Liévin (FRA) (i)",10 FEB 2024,1254
34,34,49.63,,Nickisha PRYCE,07 MAR 2001,JAM,1h1,"National Stadium, Kingston (JAM)",29 JUN 2024,1220
35,34,49.63,,Amber ANNING,18 NOV 2000,GBR,4,"Olympic Stadium, London (GBR)",20 JUL 2024,1220
36,37,49.64,,Lieke KLAVER,20 AUG 1998,NED,2,"Stade Louis II, Monaco (MON)",12 JUL 2024,1220
37,38,49.66,,Salwa Eid NASER,23 MAY 1998,BRN,1f1,"Stade de La Charrière, La Chaux-de-Fonds (SUI)",14 JUL 2024,1219
